Index,Type,Introduction,Body,CTA,Conclusion,Response(Y/N),Cleaned_Body,Generated Email
31,Cold Email,"Hi Mitchell,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Scotiabank. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",Y,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Mitchell, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Scotiabank."
32,Cold Email,"Hi Ryan,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at houlihan if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Ryan, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey."
33,Cold Email,"Hi Caitlin,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Aeris Partners. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at aeris if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Caitlin, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Aeris Partners."
34,Cold Email,"Dear Ellis,","I hope your week is going well! My name is Shreyas and I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities in Asset Management with Morgan Stanley, particularly in Boston. Through my internships in private equity, corporate finance, and equity research—most recently supporting a $100M acquisition at Thesis Capital Partners—I’ve developed strong financial modeling and investment analysis skills that I’m excited to possibly bring to the team. I’d love the opportunity to introduce myself further and learn more about potential opportunities at Morgan Stanley. Would you be open to a brief call at your convenience?",Thank you for your time and consideration. I look forward to connecting with you!,"Best, Shreyas",N,hope week is going name is shreyas and am a rising senior at bentley university pursuing both a and degree in am very interested in pursuing full time opportunities in asset management with morgan particularly in through internships in private corporate and equity recently supporting a acquisition at thesis capital developed strong financial modeling and investment analysis skills that excited to possibly bring to the love the opportunity to introduce further and learn more about potential opportunities at morgan would be open to a brief call at,",: Best, Shreyas, Body: I hope your week is going well! Conclusion: Best, Shreyas, Body: I hope your week is going well! I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities in Asset Management with Morgan Stanley, particularly in Boston."
35,Cold Email,"Dear Steven,","I hope your week is going well! My name is Shreyas and I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities in investment banking with PJT Partners, particularly in Boston. Through my internships in private equity, corporate finance, and equity research—most recently supporting a $100M acquisition at Thesis Capital Partners—I’ve developed strong financial modeling and investment analysis skills that I’m excited to possibly bring to the team. I’d love the opportunity to introduce myself further and learn more about potential opportunities at PJT Partners. Would you be open to a brief call at your convenience?",Thank you for your time and consideration. I look forward to connecting with you!,"Best, Shreyas",N,hope week is going name is shreyas and am a rising senior at bentley university pursuing both a and degree in am very interested in pursuing full time opportunities in investment banking with pjt particularly in through internships in private corporate and equity recently supporting a acquisition at thesis capital developed strong financial modeling and investment analysis skills that excited to possibly bring to the love the opportunity to introduce further and learn more about potential opportunities at pjt would be open to a brief call at,",: Best, Shreyas, and I hope your week is going well! Conclusion: Best, Shreyas, Shreyas, and I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities in investment banking with PJT Partners, particularly in Boston."
36,Cold Email,"Hi Paul,","I hope you're having a great day so far! My name is Shreyas Kumar and I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at Wells Fargo. I was wondering whether you would be available for a ~10-15 minute phone call in the coming weeks. I understand you must be very busy, but if you're willing, I'd be more than happy to find a time that works best for your schedule.",I have attached my resume for your reference. Thank you for your time and consideration!,"Best, Shreyas",N,hope having a great day so name is shreyas kumar and am a junior pursuing both and degree in finance at bentley am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with about experiences at wells was wondering whether would be available for a minute phone call in the coming understand must be very but if be more than happy to find a time that works best for,I hope you're having a great day so far! I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at Wells Fargo.
37,Cold Email,"Hi Paul,","I hope you're having a great day so far! My name is Shreyas Kumar and I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at Wells Fargo. I was wondering whether you would be available for a ~10-15 minute phone call in the coming weeks. I understand you must be very busy, but if you're willing, I'd be more than happy to find a time that works best for your schedule.",I have attached my resume for your reference. Thank you for your time and consideration!,"Best, Shreyas",N,hope having a great day so name is shreyas kumar and am a junior pursuing both and degree in finance at bentley am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with about experiences at wells was wondering whether would be available for a minute phone call in the coming understand must be very but if be more than happy to find a time that works best for,I hope you're having a great day so far! I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at Wells Fargo.
38,Cold Email,"Hi Chris,","I hope you're having a great day so far! My name is Shreyas Kumar and I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry fulltime and would be grateful for the opportunity to speak with you about your experiences at Wells Fargo. I was wondering whether you would be available for a ~10-15 minute phone call in the coming weeks. I understand you must be very busy, but if you're willing, I'd be more than happy to find a time that works best for your schedule.",I have attached my resume for your reference. Thank you for your time and consideration!,"Best, Shreyas",Y,hope having a great day so name is shreyas kumar and am a junior pursuing both and degree in finance at bentley am eager to enter the investment banking industry fulltime and would be grateful for the opportunity to speak with about experiences at wells was wondering whether would be available for a minute phone call in the coming understand must be very but if be more than happy to find a time that works best for,I hope you're having a great day so far! I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry fulltime and would be grateful for the opportunity to speak with you about your experiences at Wells Fargo.
39,Cold Email,"Hi Anthony,","My name is Shreyas, and I am a rising senior at Bentley University pursuing both my bachelor's and master's degrees in finance. I'm very interested in the field of investment banking and was wondering if you had some free time in the next couple weeks to set up a quick call about investment banking at Scotiabank, your journey and any advice you may have for a student looking to enter this area full time.",I have attached my resume for your reference. Please let me know what times work best for you as I am happy to work around your schedule. I look forward to hearing from you!,"Best, Shreyas",Y,name is and am a rising senior at bentley university pursuing both and degrees in very interested in the field of investment banking and was wondering if had some free time in the next couple weeks to set up a quick call about investment banking at journey and any advice may have for a student looking to enter this area full,"Introduction: Hi Anthony, Body: My name is Shreyas, and I am a rising senior at Bentley University pursuing both my bachelor's and master's degrees in finance. I'm very interested in the field of investment banking and was wondering if you had some free time in the next couple weeks to set up a quick call about investment banking at Scotiabank."
40,Cold Email,"Hi Susan,","I hope you're having a great week so far! My name is Shreyas, and I recently applied for the 2025 Mergers & Acquisitions Analyst at Kroll Inc. I am very enthusiastic about the opportunity to join and contribute to the investment banking team at Kroll. I am reaching out to see if you could provide more details about the typical timeline for the recruitment process and any next steps I should anticipate? Thank you in advance for your time and consideration. I've attached my resume for your reference. I look forward to hearing from you!","Best,",Shreyas,N,hope having a great week so name is and recently applied for the mergers acquisitions analyst at kroll am very enthusiastic about the opportunity to join and contribute to the investment banking team at am reaching out to see if could provide more details about the typical timeline for the recruitment process and any next steps should thank in advance for time and attached resume for look forward to hearing from,"I hope you're having a great week so far! Hi Susan, Body: I hope you're having a great week so far! I am very enthusiastic about the opportunity to join and contribute to the investment banking team at Kroll Inc."
41,Cold Email,"Hi Christin,","I hope you're having a great day so far! My name is Shreyas Kumar and I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at William Blair. I was wondering whether you would be available for a ~10-15 minute phone call in the coming weeks. I understand you must be very busy, but if you're willing, I'd be more than happy to find a time that works best for your schedule.",I have attached my resume for your reference. Thank you for your time and consideration!,"Best, Shreyas",N,hope having a great day so name is shreyas kumar and am a junior pursuing both and degree in finance at bentley am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with about experiences at william was wondering whether would be available for a minute phone call in the coming understand must be very but if be more than happy to find a time that works best for,I hope you're having a great day so far! I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at William Blair.
42,Cold Email,"Hi Roman,","I hope you're having a great day so far! My name is Shreyas Kumar and I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at Fifth Third Securities. I was wondering whether you would be available for a ~10-15 minute phone call in the coming weeks. I understand you must be very busy, but if you're willing, I'd be more than happy to find a time that works best for your schedule.",I have attached my resume for your reference. Thank you for your time and consideration!,"Best, Shreyas",N,hope having a great day so name is shreyas kumar and am a junior pursuing both and degree in finance at bentley am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with about experiences at fifth third was wondering whether would be available for a minute phone call in the coming understand must be very but if be more than happy to find a time that works best for,I hope you're having a great day so far! I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at Fifth Third Securities.
43,Cold Email,"Hi Julius,","My name is Shreyas, and I am a rising senior at Bentley University pursuing both my bachelor's and master's degrees in finance. I'm very interested in the field of investment banking and was wondering if you had some free time in the next couple weeks to set up a quick call about investment banking at RBC Capital Markets, your journey and any advice you may have for a student looking to enter this area full time.",I have attached my resume for your reference. Please let me know what times work best for you as I am happy to work around your schedule. I look forward to hearing from you!,"Best, Shreyas",Y,name is and am a rising senior at bentley university pursuing both and degrees in very interested in the field of investment banking and was wondering if had some free time in the next couple weeks to set up a quick call about investment banking at rbc capital journey and any advice may have for a student looking to enter this area full,I am a rising senior at Bentley University pursuing both my bachelor's and master's degrees in finance. I'm very interested in the field of investment banking and was wondering if you had some free time in the next couple weeks to set up a quick call about investment banking at RBC Capital Markets.
44,Cold Email,"Hi Tye,","My name is Shreyas, and I am a rising senior at Bentley University pursuing both my bachelor's and master's degrees in finance. I'm very interested in the field of investment banking and was wondering if you had some free time in the next couple weeks to set up a quick call about investment banking at RBC Capital Markets, your journey and any advice you may have for a student looking to enter this area full time.",I have attached my resume for your reference. Please let me know what times work best for you as I am happy to work around your schedule. I look forward to hearing from you!,"Best, Shreyas",Y,name is and am a rising senior at bentley university pursuing both and degrees in very interested in the field of investment banking and was wondering if had some free time in the next couple weeks to set up a quick call about investment banking at rbc capital journey and any advice may have for a student looking to enter this area full,"Hi Tye, Body: My name is Shreyas, and I am a rising senior at Bentley University pursuing both my bachelor's and master's degrees in finance. I'm very interested in the field of investment banking and was wondering if you had some free time in the next couple weeks to set up a quick call about investment banking at RBC Capital Markets."
45,Cold Email,"Hi Joohwan,","I hope this email finds you well! My name is Shreyas and I am a rising senior at Bentley University who found your contact information via LinkedIn. I'm very interested in equity research and was wondering if you had some free time in the next couple weeks to set up a quick call about equity research at Canaccord Genuity, your journey and any advice you may have for a student looking to enter this area full time.",I have attached my resume for your reference. Please let me know what times work best for you as I am happy to work around your schedule. I look forward to hearing from you!,"Best, Shreyas",Y,hope this email finds name is shreyas and am a rising senior at bentley university who found contact information via very interested in equity research and was wondering if had some free time in the next couple weeks to set up a quick call about equity research at canaccord journey and any advice may have for a student looking to enter this area full,", Body: I hope this email finds you well! Introduction: Hi Joohwan, Body: I hope this email finds you well! I am a rising senior at Bentley University who found your contact information via LinkedIn. I'm very interested in equity research and was wondering if you had some free time in the next couple weeks to set up a quick call about equity research at Canaccord Genuity, your journey and any advice you may have for a student looking into this area full time."
46,Cold Email,"Hi Maria,","I hope you're having an excellent morning! My name is Shreyas Kumar, a rising senior at Bentley University pursuing a bachelor's and master's degree in finance concurrently. After speaking with analysts at Santander, I've become very interested in full-time opportunities with the bank's investment banking division. I wanted to ask when full-time applications would open for Santander and what I could do to put myself in the best possible position to be selected for an interview with the bank.",Thank you in advance for your time and consideration. I look forward to hearing from you!,"Best, Shreyas",Y,hope having an excellent name is shreyas a rising senior at bentley university pursuing a and degree in finance after speaking with analysts at become very interested in opportunities with the investment banking wanted to ask when applications would open for santander and what could do to put in the best possible position to be selected for an interview with the,I hope you're having an excellent morning! I hope you're having excellent morning! I hope you're having excellent morning! I've become very interested in full-time opportunities with the bank's investment banking division. I wanted to ask when full-time applications would open for Santander and what I could do to put myself in the best possible position to be selected for an interview with the bank.
47,Cold Email,"Hi Katie,","I hope you're having a great week so far! My name is Shreyas, and I recently applied for the Healthcare Investment Banking Analyst position at Truist Securities in New York. I am very enthusiastic about the opportunity to join and contribute to the investment banking team at Truist. I am reaching out to see if you could provide more details about the typical timeline for the recruitment process and any next steps I should anticipate? Thank you in advance for your time and consideration. I've attached my resume for your reference. I look forward to hearing from you!","Best,",Shreyas,N,hope having a great week so name is and recently applied for the healthcare investment banking analyst position at truist securities in new am very enthusiastic about the opportunity to join and contribute to the investment banking team at am reaching out to see if could provide more details about the typical timeline for the recruitment process and any next steps should thank in advance for time and attached resume for look forward to hearing from,"I hope you're having a great week so far! Hi Katie, Body: I hope you're having a great week so far! I am very enthusiastic about the opportunity to join and contribute to the investment banking team at Truist Securities in New York. I am reaching out to see if you could provide more details about the typical timeline for the recruitment process and any next steps I should anticipate? Thank you in advance for your time and consideration. I am reaching out to see if you could provide more details about the typical timeline for the"
48,Cold Email,"Dear Mr. Young,",I hope your week is going well! My name is Shreyas and I am a rising senior at Bentley University studying finance. I'm eager to launch my career in investment banking and am actively seeking full-time opportunities.,I would love to chat and learn more about your role in the Healthcare group and your overall experiences at Canaccord Genuity. I have also attached my resume for your reference. Please let me know what times work best for you as I am happy to work around your schedule. I look forward to hearing from you!,"Best, Shreyas",N,hope week is going name is shreyas and am a rising senior at bentley university studying eager to launch career in investment banking and am actively seeking,", Body: I hope your week is going well! I hope your week is going well! My name is Shreyas and I am a rising senior at Bentley University studying finance. I'm eager to launch my career in investment banking and am actively seeking full-time opportunities."
49,Cold Email,"Hi Nicole,","I hope you're having a great week so far! My name is Shreyas, and I recently applied for the 2025 Commercial Investment Banking Full Time Analyst Program position in New York. I am very enthusiastic about the opportunity to join and contribute to the investment banking team at J.P. Morgan. I am reaching out to see if you could provide any information about the role or the specific team I would possibly be working with. Thank you in advance for your time and consideration. I've attached my resume for your reference. I look forward to hearing from you!","Best regards,",Shreyas Kumar,N,hope having a great week so name is and recently applied for the commercial investment banking full time analyst program position in new am very enthusiastic about the opportunity to join and contribute to the investment banking team at am reaching out to see if could provide any information about the role or the specific team would possibly be working thank in advance for time and attached resume for look forward to hearing from,"I hope you're having a great week so far! I hope you're having a great week so far! My name is Shreyas, and I recently applied for the 2025 Commercial Investment Banking Full Time Analyst Program position in New York. I am very enthusiastic about the opportunity to join and contribute to the investment banking team at J.P. Morgan. I am reaching out to see if you could provide any information about the role or the specific team I would possibly be working with. Thank you in advance for your time"
